[FRONTEND_JS_ERROR] la_time=2026-05-18 06:10:59 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 06:10:59 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=17 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/custom-swiper-1.js:25:17 | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 06:10:59 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=https://fleeescape.com/corporate-team-building-escape-room-vr-party | line=776 | col=13 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at HTMLDocument.<anonymous> (https://fleeescape.com/corporate-team-building-escape-room-vr-party:776:13) | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 06:11:03 PM PDT | ip=50.123.108.192 | session_id=d12fa0f243e0f9cfc468db636ba658ae | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/corporate-team-building-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:06:46 PM PDT | ip=73.42.162.103 | session_id=7aee4c9c8080af88fed40d3d85f698ae | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=fc31dada306016cf779eb0d1f5d1a8f6&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=flee%20escape%20room%20redmond&utm_content=Escape%20Rooms | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:06:46 PM PDT | ip=73.42.162.103 | session_id=7aee4c9c8080af88fed40d3d85f698ae | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=17 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at https://fleeescape.com/assets/js/custom-swiper-1.js:25:17 | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=fc31dada306016cf779eb0d1f5d1a8f6&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=flee%20escape%20room%20redmond&utm_content=Escape%20Rooms | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:06:46 PM PDT | ip=73.42.162.103 | session_id=7aee4c9c8080af88fed40d3d85f698ae | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=fc31dada306016cf779eb0d1f5d1a8f6&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=flee%20escape%20room%20redmond&utm_content=Escape%20Rooms | line=776 | col=13 | stack=TypeError: Cannot read properties of null (reading 'addEventListener')     at HTMLDocument.<anonymous> (https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=fc31dada306016cf779eb0d1f5d1a8f6&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=flee%20escape%20room%20redmond&utm_content=Escape%20Rooms:776:13) | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=fc31dada306016cf779eb0d1f5d1a8f6&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=flee%20escape%20room%20redmond&utm_content=Escape%20Rooms | message=Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:06:50 PM PDT | ip=73.42.162.103 | session_id=7aee4c9c8080af88fed40d3d85f698ae | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=fc31dada306016cf779eb0d1f5d1a8f6&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=flee%20escape%20room%20redmond&utm_content=Escape%20Rooms | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:09:56 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:09:56 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
